instance,size,time-relax,gap-relax,ub-relax,lb-relax,sol-relax,time-relax-heuLB,gap-relax-heuLB,ub-relax-heuLB,lb-relax-heuLB,sol-relax-heuLB,time-relax-CUT-heuLB,gap-relax-CUT-heuLB,ub-relax-CUT-heuLB,lb-relax-CUT-heuLB,sol-relax-CUT-heuLB,time-relax-itUB-CUT-heuLB,gap-relax-itUB-CUT-heuLB,ub-relax-itUB-CUT-heuLB,lb-relax-itUB-CUT-heuLB,sol-relax-itUB-CUT-heuLB
r025-019,25,,,,,,6.56296,0.3647914038,8,5,7.87143,6.26862,0.2391306002,8,5,6.57143,17.5694,0,5,5,5
r025-020,25,,,,,,8.05417,0,16,11,11,7.96776,0,16,11,11,19.0994,0,11,11,11
r025-021,25,,,,,,9.29612,0,11,7,7,9.58995,0,11,7,7,21.3788,0,7,7,7
r025-022,25,,,,,,16.2915,0.527432541,13,6,12.6966,18.5749,0.4132488412,13,6,10.2258,62.4335,0,6,6,6
r025-023,25,,,,,,5.75105,0.3668986772,8,5,7.89763,5.46494,0.3055555556,8,5,7.2,17.7232,0,5,5,5
r025-024,25,,,,,,7.09862,0.4930362188,8,4,7.89011,6.6664,0.396716327,8,4,6.63038,21.8437,0,4,4,4
r025-025,25,,,,,,5.17054,0.5501665508,9,4,8.89218,4.84603,0.4583336719,9,4,7.38462,20.7876,0,4,4,4
r025-026,25,,,,,,101.45,0.5544942619,9,3,8.97856,45.2629,0.5173191908,9,3,8.28705,293.623,0,4,3,4
r025-027,25,,,,,,7.81239,0,13,7,7,8.30117,0,13,7,7,16.782,0,7,7,7
r025-028,25,,,,,,6.79494,0.4332132501,9,5,8.82166,6.58219,0.299065093,9,5,7.13333,23.1644,0,5,5,5
r025-029,25,,,,,,19.657,0.5800366208,12,5,11.9058,8.2996,0.4339620506,12,5,8.83333,37.6835,0.1666666667,6,5,6
r030-000,30,,,,,,194.034,0,10,7,7,15.1716,0,10,7,7,36.2582,0,7,7,7
r030-001,30,,,,,,38.8001,0.4375017578,13,6,10.6667,49.5553,0,13,6,6,87.0091,0,6,6,6
r030-002,30,,,,,,14.1463,0,14,10,10,14.2747,0,14,10,10,34.3434,0,10,10,10
r030-003,30,,,,,,773.842,0.5434123534,11,4,10.9508,385.289,0.4919416871,11,4,9.84139,2359.49,0,5,4,5
r030-004,30,,,,,,23.7304,0.4320978306,11,6,10.5652,29.9296,0.279999712,11,6,8.33333,85.3607,0,6,6,6
r030-005,30,,,,,,92.4037,0.5429490754,11,5,10.9397,31.3461,0.4067795605,11,5,8.42857,198.158,0.1666666667,6,5,6
r030-006,30,,,,,,27.0454,0.4482606417,11,6,10.8747,27.1038,0.3000001167,11,6,8.57143,94.2616,0,6,6,6
r030-007,30,,,,,,27.5044,0.3835614327,10,6,9.73333,27.5683,0.279999712,10,6,8.33333,94.6761,0,6,6,6
r030-008,30,,,,,,289.231,0.5434797495,14,6,13.1429,72.694,0.3568773394,14,6,9.32948,203.643,0,6,6,6
r030-009,30,,,,,,159.155,0.5024751859,13,6,12.0597,75.2329,0.3333333333,13,6,9,252.077,0,6,6,6
r030-010,30,,,,,,62.963,0.5291939015,13,6,12.7441,25.0744,0.25,13,6,8,70.7372,0,6,6,6
r030-011,30,,,,,,17.1279,0.2173916446,11,6,7.66667,17.4207,0.07692307692,11,6,6.5,38.8452,0,6,6,6
r030-012,30,,,,,,23.7709,0.3855424278,10,6,9.76471,23.6772,0.1428571429,10,6,7,69.6312,0,6,6,6
r030-013,30,,,,,,244.841,0.5625004557,15,6,13.7143,237.389,0,15,6,6,260.489,0,6,6,6
r030-014,30,,,,,,16.2346,0,10,6,6,16.1438,0,10,6,6,36.3019,0,6,6,6
r030-015,30,,,,,,43.9393,0,12,6,6,32.3276,0,12,6,6,71.646,0,6,6,6
r030-016,30,,,,,,24.0016,0.4410672486,9,5,8.94562,22.3366,0.3759283066,9,5,8.0119,80.3995,0.1666666667,6,5,6
r030-017,30,,,,,,15.6924,0,12,8,8,16.3623,0,12,8,8,38.55,0,8,8,8
r030-018,30,,,,,,444.501,0.5431495272,11,5,10.9445,514.397,0.4893112852,11,5,9.7907,1753.11,0.1666666667,6,5,6
r030-019,30,,,,,,280.187,0.5216989254,13,6,12.5444,291.895,0.3513513514,13,6,9.25,647.672,0,6,6,6
r030-020,30,,,,,,33.9054,0.3506493506,8,5,7.7,33.5795,0.2361105806,8,5,6.54545,96.7406,0,5,5,5
r030-021,30,,,,,,20.5985,0.4255294703,11,6,10.4444,20.484,0.21276579,11,6,7.62162,58.4879,0,6,6,6
r030-022,30,,,,,,641.455,0.3950602347,15,7,11.5714,69.0836,0.1727274231,15,7,8.46154,133.209,0,7,7,7
r030-023,30,,,,,,3021.18,0.5547823609,9,3,8.98437,623.081,0.5249722109,9,3,8.42056,3980.66,0.2,5,3,5
r030-024,30,,,,,,18.2848,0,11,8,8,18.3585,0,11,8,8,45.4581,0,8,8,8
r030-025,30,,,,,,181.063,0.5538846056,9,4,8.96629,61.8685,0.4814179072,9,4,7.71334,293.797,0,4,4,4
r030-026,30,,,,,,41.2404,0,13,8,8,41.2794,0,13,8,8,99.9651,0,8,8,8
r030-027,30,,,,,,28.75,0.4980807864,8,4,7.96941,25.5671,0.46176152,8,4,7.43165,143.217,0.2,5,4,5
r030-028,30,,,,,,117.854,0.5374011195,11,5,10.8085,54.0031,0.4298245114,11,5,8.76923,227.145,0,5,5,5
r030-029,30,,,,,,809.502,0.4987167148,10,4,9.9744,404.724,0.4662920749,10,4,9.36842,1721.74,0,5,4,5
